cookie_name,Placed_by,Functionality,purpose
tm_pb_templates_tm_pb_icon,,with unknown functionality,Functional
tm_pb_templates_tm_pb_contact_form_7,,with unknown functionality,Functional
tm_pb_templates_tm_pb_cherry_testi,,with unknown functionality,Functional
tm_pb_templates_tm_pb_cherry_projects,,with unknown functionality,Functional
tm_pb_templates_tm_pb_link_box,,with unknown functionality,Functional
tm_pb_templates_tm_pb_cherry_team,,with unknown functionality,Functional
tm_pb_clipboard_type,,with unknown functionality,Functional
tm_pb_templates_tm_pb_cherry_services,,with unknown functionality,Functional
csshero_is_on,CssHero,with unknown functionality,Functional
asgarosforum_unique_id,Asgaros Forum,to provide functions across pages.,Functional
asgarosforum_unread_exclude,Asgaros Forum,to store if a message has been shown.,Functional
asgarosforum_unread_cleared,Asgaros Forum,to store if a message has been shown.,Functional
cf_use_ob,CloudFlare,with unknown functionality,Functional
cf_ob_info,CloudFlare,with unknown functionality,Functional
cbox_first_page_popup_was_closed,ConvertBox,to store if a message has been dismissed.,Functional
cbox_second_page_popup_was_closed,ConvertBox,to store if a message has been dismissed.,Functional
tm_pb_templates_tm_pb_booked_appointments,,with unknown functionality,Functional
tm_pb_templates_tm_pb_booked_login,,with unknown functionality,Functional
jv_mframe_protected,Jivochat,to provide a responsive website.,Functional
paypalplus_session_v2,PayPal,to store payment method.,Functional
buttonizer-first-visit,Buttonizer,to store first visit to the site.,Functional
ls_smartpush,Litespeed,with unknown functionality,Functional
BizographicsOptOut,LinkedIn,to store privacy preferences.,Functional
fusionPanel,Fusion Theme,with unknown functionality,Functional
linkedin_oauth_,LinkedIn,to provide functions across pages.,Functional
buttonizer_live_groups_opened,Buttonizer,to provide functions across pages.,Functional
tinymce-custom-colors,TinyMCE,with unknown functionality,Functional
yasr_visitor_vote_cookie,Yasr - Yet Another Stars Rating,with unknown functionality,Functional
mirage_cache_manifest,CloudFlare,with unknown functionality,Functional
mirage_network_connection,CloudFlare,with unknown functionality,Functional
cdp-cookies-plugin-wp,Cookie Notice for GDPR,to store cookie consent preferences.,Functional
mtsnb_lastvisited,WP Notification bar,to store last visit.,Functional
mtsnb_lastvisit_posts,WP Notification bar,to store if a message has been shown.,Functional
mtsnb_seen_*,WP Notification bar,to store if a message has been shown.,Functional
ecwid_is_safari,Ecwid,to store browser details.,Functional
et-editor-available-post,Divi (Elegant Themes),with unknown functionality,Functional
wp-youtube-lyte_feed,WP YouTube Lyte,to store if a message has been shown.,Functional
the7-options-preview-url,The7 Theme,with unknown functionality,Functional
bookly-cst-info-fields,Bookly,with unknown functionality,Functional
bookly-cst-full-name,Bookly,with unknown functionality,Functional
bookly-cst-first-name,Bookly,with unknown functionality,Functional
bookly-cst-email,Bookly,with unknown functionality,Functional
bookly_cal_tab_id,Bookly,with unknown functionality,Functional
bookly-cst-phone,Bookly,with unknown functionality,Functional
bookly_cal_view,Bookly,with unknown functionality,Functional
gtm4wp_orderid_cookie_expire,Google Tag Manager for Wordpress,with unknown functionality,Functional
gtm4wp_last_weatherstatus,Google Tag Manager for Wordpress,with unknown functionality,Functional
olark-next-convo-id,Olark,with unknown functionality,Functional
joomla_user_state,Joomla,with unknown functionality,Functional
wmc_current_currency_old,Woo Multi Currency,to store currency settings.,Functional
revslider-sharing-addon-notice,Slider Revolution,with unknown functionality,Functional
happylocaltimezone,WeDevs,to store time of visit.,Functional
bookly-cst-additional-address,Bookly,with unknown functionality,Functional
bookly-cst-country,Bookly,with unknown functionality,Functional
bookly-cst-street,Bookly,with unknown functionality,Functional
bookly-cst-city,Bookly,with unknown functionality,Functional
bookly-cst-postcode,Bookly,with unknown functionality,Functional
bookly-cst-last-name,Bookly,with unknown functionality,Functional
fl-cache-app-state-*,Beaver Builder,with unknown functionality,Functional
_webpushrPromptAction,Webpushr,to store user preferences.,Functional
wpsi*,WP Search Insights,with unknown functionality,Functional
uvc,AddToAny,to provide load balancing functionality.,Functional
qm-container-width,Query Monitor,with unknown functionality,Functional
litespeed_tab,Litespeed,with unknown functionality,Functional
toggle_data_id_*,,to provide functions across pages.,Functional
ZRDN_UserGUID,Zip Recipes,to store a unique user ID.,Functional
zrdnDashboardDefaultsSet,Zip Recipes,"to store configuration, store settings.",Functional
optimizely_data$$pending_events,Optimizely,with unknown functionality,Functional
jwplayer.mute,JW Player,with unknown functionality,Functional
No longer active,Complianz,to store cookie consent preferences.,Functional
__cfruid,CloudFlare,with unknown functionality,Functional
cmplz_marketing,Complianz,to store cookie consent preferences.,Functional
hasConsented,All in One WP Migration,to store privacy preferences.,Functional
_webpushrEndPoint,Webpushr,to store user preferences.,Functional
statcounter_config,Statcounter,with unknown functionality,Functional
_uetsid_exp,Bing Ads,with unknown functionality,Functional
wpfront-notification-bar-keep-closed,WP Front,to provide functions across pages.,Functional
fl-cache-updater-*,Beaver Builder,with unknown functionality,Functional
HW_seenItems*,Headway Widget,with unknown functionality,Functional
HW_readItems*,Headway Widget,with unknown functionality,Functional
woodmart_cookies_1,Woodmart,to store cookie consent preferences.,Functional
__cf_bm,CloudFlare,with unknown functionality,Functional
SIDCC,Google Maps,to provide the identification of trusted web traffic.,Functional
ameliaToken,Amelia,to Store logged in users.,Functional
ameliaUserEmail,Amelia,to Store logged in users.,Functional
displayedCookiesNotification,Several,to store cookie consent preferences.,Functional
hasConsent,All in One WP Migration,to store privacy preferences.,Functional
TrengoWidget_is_chatting,Trengo,to store the status of the chat.,Functional
webmailsession,cpanel,to provide the identification of trusted web traffic.,Functional
qm-filter-db_queries-component,Query Monitor,to store configuration.,Functional
woodmart_popup_*,Woodmart,to store if a message has been shown.,Functional
woozone-debugbar-row-height,WZone,with unknown functionality,Functional
mat_tel,Matelso,to store settings.,Functional
ameliaRangePast,Amelia,to provide functions across pages.,Functional
ameliaRangeFuture,Amelia,to provide functions across pages.,Functional
wpe_is_consent_required,WP Engine,with unknown functionality,Functional
fl-builder-settings-tab,Beaver Builder,with unknown functionality,Functional
bc.visitor_token,,with unknown functionality,Functional
jwplayer.bandwidthEstimate,JW Player,with unknown functionality,Functional
openSnippets,Post Snippets,to provide functions across pages.,Functional
ct-ultimate-gdpr-cookie-level,,with unknown functionality,Functional
cache-sprite-plyr,,with unknown functionality,Functional
shouldRedirect,,with unknown functionality,Functional
wsc_connected_once,Yoast,to store performed actions on the website.,Functional
wsc_widget_last_closed,Yoast,to store performed actions on the website.,Functional
wsc_session_started_at,Yoast,to store performed actions on the website.,Functional
wsc_last_activity_at,Yoast,to store performed actions on the website.,Functional
wsc_page_views,Yoast,to store performed actions on the website.,Functional
wsc_dictionary_cache,Yoast,to store performed actions on the website.,Functional
wsc_user_dictionary,Yoast,to store performed actions on the website.,Functional
googlepersonalization,QuantCast,to store cookie consent preferences.,Functional
timezone,cpanel,to provide timezone.,Functional
jwplayerLocalId,JW Player,with unknown functionality,Functional
buddypanel,BuddyPress,to store performed actions on the website.,Functional
cpsession,cpanel,with unknown functionality,Functional
loginpress_bg,LoginPress,to provide functions across pages.,Functional
fpd-storage,Fancy Product Designer,to store configuration.,Functional
bid_1_password_protected_auth,,with unknown functionality,Functional
fail_url,,with unknown functionality,Functional
joinchat_hashes,Join.chat,to store performed actions on the website.,Functional
joinchat_views,Join.chat,to store and count pageviews.,Functional
joinchat_country_code,Join.chat,to store location data.,Functional
adthrive_amzn_hold_load,AdThrive,to provide load balancing functionality.,Functional
jwplayer.volume,JW Player,with unknown functionality,Functional
jwplayer.bitrateSelection,JW Player,with unknown functionality,Functional
jwplayer.qualityLabel,JW Player,with unknown functionality,Functional
drts-entity-view-list-layout-*,Directories Pro,to store and read layout.,Functional
wsc_user_dictionary_name,Yoast,to store performed actions on the website.,Functional
_webpushrBellNotification,Webpushr,to store settings.,Functional
jdgm_vote_count_down_*,Judge.me,to store performed actions on the website.,Functional
jdgm_vote_submitted_*,Judge.me,to provide fraud prevention.,Functional
jdgm_vote_count_up_*,Judge.me,to store performed actions on the website.,Functional
ts_c,PayPal,to provide fraud prevention.,Functional
ts,PayPal,to provide fraud prevention.,Functional
__tt_embed__storage_test,TikTok,to read if cookies can be placed.,Functional
aHistoryArticles,oxid,to store items in shopping cart.,Functional
AKA_A2,Akamai,with unknown functionality,Functional
cmplz_tcf_consent_all,Complianz,to store cookie consent preferences.,Functional
cmplz_tcf_consent,Complianz,to store cookie consent preferences.,Functional
cookiehub,Cookiehub,to store cookie consent preferences.,Functional
wplmi_active_tab,WP Last Modified Info,to store performed actions on the website.,Functional
debug_vis_preview_*,Visual Website Optimizer,to provide functions across pages.,Functional
ti_wishlist_data_*,WooCommerce,to store user preferences.,Functional
_hjTLDTest,Hotjar,with unknown functionality,Functional
zrdnFormValues,Zip Recipes,with unknown functionality,Functional
_calendly_session,Calendly,to store user preferences.,Functional
_uetvid_exp,Bing Ads,with unknown functionality,Functional
na_tc,AddThis,to store dynamic variables from the browser.,Marketing/Tracking
na_id,AddThis,to store the user's usage history.,Marketing/Tracking
mus,AddThis,to provide functions across pages.,Marketing/Tracking
loc,AddThis,to store location data.,Marketing/Tracking
cw_id,AddThis,to store the user's usage history.,Marketing/Tracking
uvc,AddThis,to store and track visits across websites.,Marketing/Tracking
at-rand,AddThis,to provide functions across pages.,Marketing/Tracking
at-lojson-cache-wp-*,AddThis,to provide functions across pages.,Marketing/Tracking
cw_id,AddThis,to Store and track interaction.,Marketing/Tracking
Google Fonts API,Google Fonts,to read user IP address.,Marketing/Tracking
SID,Google Ads Optimization,"to provide ad delivery or retargeting, provide fraud prevention.",Marketing/Tracking
NID,Google Ads Optimization,"to provide ad delivery or retargeting, store user preferences.",Marketing/Tracking
PREF,YouTube,to store user preferences.,Marketing/Tracking
_fbp,Facebook,to store and track visits across websites.,Marketing/Tracking
datr,Facebook,to provide fraud prevention.,Marketing/Tracking
c_user,Facebook,to store a unique user ID.,Marketing/Tracking
sb,Facebook,to store browser details.,Marketing/Tracking
*_fbm_,Facebook,to store account details.,Marketing/Tracking
at-lojson-cache-ra-*,AddThis,to provide functions across pages.,Marketing/Tracking
ouid,AddThis,to store a unique user ID.,Marketing/Tracking
X-LI-IDC,LinkedIn,to provide functions across pages.,Marketing/Tracking
gig_hasGmid,Gigya,with unknown functionality,Marketing/Tracking
IDE,Google DoubleClick,to provide ad delivery or retargeting.,Marketing/Tracking
_drt_,Google DoubleClick,to provide ad delivery or retargeting.,Marketing/Tracking
___gads,Google DoubleClick,to provide ad delivery or retargeting.,Marketing/Tracking
id,Google DoubleClick,to provide ad delivery or retargeting.,Marketing/Tracking
ar_v4,Google DoubleClick,to store and track conversions.,Marketing/Tracking
DSID,Google DoubleClick,to store user preferences.,Marketing/Tracking
idIDE,Google DoubleClick,to provide ad delivery or retargeting.,Marketing/Tracking
SNID,Google Ads Optimization,to provide ad delivery or retargeting.,Marketing/Tracking
_beeketing_cart_token,Beeketing,with unknown functionality,Marketing/Tracking
__hstc,HubSpot,to store time of visit.,Marketing/Tracking
__ar_v4,Google DoubleClick,to store and track conversions.,Marketing/Tracking
__qca,QuantCast,to store and track audience reach.,Marketing/Tracking
_stgmap,ShareThis,to store and track audience reach.,Marketing/Tracking
_stamap,ShareThis,to store and track audience reach.,Marketing/Tracking
stacxiommap,ShareThis,to store and track audience reach.,Marketing/Tracking
stdlxmap,ShareThis,to store and track audience reach.,Marketing/Tracking
__stid,ShareThis,to store and track audience reach.,Marketing/Tracking
metrics_token,Twitter,to store if the user has seen embedded content.,Marketing/Tracking
CMID,Casale Media,with unknown functionality,Marketing/Tracking
wistia,Wistia,to store performed actions on the website.,Marketing/Tracking
__adroll_v4,Adroll,with unknown functionality,Marketing/Tracking
__adroll_fpc,Adroll,with unknown functionality,Marketing/Tracking
__adroll,Adroll,with unknown functionality,Marketing/Tracking
u,Crazy Egg,with unknown functionality,Marketing/Tracking
s,Crazy Egg,with unknown functionality,Marketing/Tracking
_ceg.u,Crazy Egg,with unknown functionality,Marketing/Tracking
calltrk_session_id_*,CallRail,with unknown functionality,Marketing/Tracking
calltrk_referrer,CallRail,with unknown functionality,Marketing/Tracking
No longer active,Jilt,to store a unique user ID.,Marketing/Tracking
_gcl_au,Google Adsense,to store and track conversions.,Marketing/Tracking
fbm*,Facebook,to store account details.,Marketing/Tracking
xs,Facebook,to store a unique session ID.,Marketing/Tracking
fr,Facebook,to provide ad delivery or retargeting.,Marketing/Tracking
act,Facebook,to Store logged in users.,Marketing/Tracking
acalltrackerreferrer,AdCalls,to store referrer ID's.,Marketing/Tracking
CMST,,with unknown functionality,Marketing/Tracking
CMPS,,with unknown functionality,Marketing/Tracking
CMPRO,Casale Media,with unknown functionality,Marketing/Tracking
hubspotutk,HubSpot,to store and track a visitor's identity.,Marketing/Tracking
Chatra.referrer,Chatra,to store referrer ID's.,Marketing/Tracking
Chatra.lastPageViewAt,Chatra,to store and count pageviews.,Marketing/Tracking
Chatra.hostedItems,Chatra,to store browser details.,Marketing/Tracking
mailchimp_cart_previous_email,MailChimp,to store information for remarketing purposes.,Marketing/Tracking
mailchimp_cart_current_email,MailChimp,to store information for remarketing purposes.,Marketing/Tracking
mailchimp_user_previous_email,MailChimp,with unknown functionality,Marketing/Tracking
mailchimp_user_email,MailChimp,with unknown functionality,Marketing/Tracking
mailchimp.cart.previous_email,MailChimp,to store information for remarketing purposes.,Marketing/Tracking
mailchimp.cart.current_email,MailChimp,to store information for remarketing purposes.,Marketing/Tracking
Drift.Targeting.currentPageViewStarted,Drift,to store time of visit.,Marketing/Tracking
Drift.Targeting.numberOfSessions,Drift,to store number of visits.,Marketing/Tracking
Drift.Targeting.numberOfVisits,Drift,to store number of visits.,Marketing/Tracking
Drift.Targeting.lastVisit,Drift,to store last visit.,Marketing/Tracking
Drift.Targeting.firstVisit,Drift,to store time of visit.,Marketing/Tracking
DFTT_LEAD_HAS_PREV_IDENTIFIED,Drift,to store email address.,Marketing/Tracking
DFTT_END_USER_PREV_BOOTSTRAPPED,Drift,to store last visit.,Marketing/Tracking
driftt_sid,Drift,to store a unique session ID.,Marketing/Tracking
driftt_aid,Drift,to store a unique user ID.,Marketing/Tracking
Chatra.clientId,Chatra,to store a unique user ID.,Marketing/Tracking
Drift.Targeting.referrerDomain,Drift,to store referrer ID's.,Marketing/Tracking
Drift.Targeting.searchTerm,Drift,to store used keyword and search engine.,Marketing/Tracking
Drift.Targeting.currentReferrer,Drift,to store referrer ID's.,Marketing/Tracking
google_experiment_mod*,Google Ads Optimization,to store and track visits across websites.,Marketing/Tracking
Drift.Targeting.previousPage,Drift,to store and count pageviews.,Marketing/Tracking
Drift.Targeting.originalReferrer,Drift,to store referrer ID's.,Marketing/Tracking
Drift.Targeting.activeSessionStartedAt,Drift,to store time of visit.,Marketing/Tracking
Drift.Targeting.previousSessionEndedAt,Drift,to store time of visit.,Marketing/Tracking
Drift.Targeting.previousSessionStartedAt,Drift,to store time of visit.,Marketing/Tracking
Drift.Targeting.currentSessionStartedAt,Drift,to store time of visit.,Marketing/Tracking
actppresence,Instagram,to store ad display frequency.,Marketing/Tracking
cto_bundle,Criteo,to provide functions across pages.,Marketing/Tracking
mixpanel_distinct_id,Mixpanel,"to store a unique user ID, store account details.",Marketing/Tracking
google_adsense_settings,Google Adsense,to provide ad delivery or retargeting.,Marketing/Tracking
__gads,Google DoubleClick,to provide ad delivery or retargeting.,Marketing/Tracking
liveAgentPage_*,LiveAgent,to store and count pageviews.,Marketing/Tracking
google_pem_mod,Google Ads,to provide ad delivery or retargeting.,Marketing/Tracking
__utmv,Google Analytics,with unknown functionality,Marketing/Tracking
_fbc,Facebook,to store last visit.,Marketing/Tracking
criteo_pt_cdb_bidcache_*,Criteo,to store and track visits across websites.,Marketing/Tracking
wplc_email,WP-live chat,to store email address.,Marketing/Tracking
wplc_name,WP-live chat,to store name data.,Marketing/Tracking
mc_landing_site,MailChimp,to store which page was visited first.,Marketing/Tracking
visitor_id*,Pardot,to store a unique user ID.,Marketing/Tracking
cp_id_*,ConvertPlus,to store a unique user ID.,Marketing/Tracking
Google Maps API,Google Maps,to read user IP address.,Marketing/Tracking
_gac_*,Google Ads,to store and track audience reach.,Marketing/Tracking
google_pub_config,Google Adsense,to provide ad delivery or retargeting.,Marketing/Tracking
google_ama_config,Google Adsense,with unknown functionality,Marketing/Tracking
google_ama_settings,Google Adsense,to store performed actions on the website.,Marketing/Tracking
bk_cartToken,Beeketing,with unknown functionality,Marketing/Tracking
ex_bk_cart_token_after_checkout,Beeketing,with unknown functionality,Marketing/Tracking
ex_bk_cartToken,Beeketing,with unknown functionality,Marketing/Tracking
klarna-instant-shopping-context-id,Klarna,with unknown functionality,Marketing/Tracking
__unam,ShareThis,to store a unique session ID.,Marketing/Tracking
onwbchtsessionrandom,OnWebChat,with unknown functionality,Marketing/Tracking
onwbchttimesVisited,OnWebChat,to store number of visits.,Marketing/Tracking
onwbchtlastvisit,OnWebChat,to store last visit.,Marketing/Tracking
onwbchtblocked,OnWebChat,to provide functions across pages.,Marketing/Tracking
onwbchtclientid,OnWebChat,to store a unique user ID.,Marketing/Tracking
bk_ccart_ps_*_*_total,Beeketing,to store items in shopping cart.,Marketing/Tracking
bk_ip_country,Beeketing,to store location data.,Marketing/Tracking
bk_bkt_saved_track_events,Beeketing,with unknown functionality,Marketing/Tracking
bk_gs_time,Beeketing,with unknown functionality,Marketing/Tracking
bk_bkeh,Beeketing,with unknown functionality,Marketing/Tracking
bk_bk_ce_tracked,Beeketing,with unknown functionality,Marketing/Tracking
bk-cookie-warning,Beeketing,with unknown functionality,Marketing/Tracking
ucid,Gigya,with unknown functionality,Marketing/Tracking
gmid,Gigya,with unknown functionality,Marketing/Tracking
bk_cart_token_after_checkout,Beeketing,with unknown functionality,Marketing/Tracking
ZD-currentTime,Zendesk,to store last visit.,Marketing/Tracking
bkt_session_id,Beeketing,to store a unique session ID.,Marketing/Tracking
BkOpSession,Beeketing,with unknown functionality,Marketing/Tracking
bk_spop_sign_up_viewed,Beeketing,with unknown functionality,Marketing/Tracking
bk_spop_viewed,Beeketing,with unknown functionality,Marketing/Tracking
bk_ss_time,Beeketing,with unknown functionality,Marketing/Tracking
bk_ss,Beeketing,with unknown functionality,Marketing/Tracking
bk_spop_notification,Beeketing,with unknown functionality,Marketing/Tracking
bkeh,Beeketing,with unknown functionality,Marketing/Tracking
AMP_TOKEN,AMP,to store a unique user ID.,Marketing/Tracking
__utmzzses,WP Engine,with unknown functionality,Marketing/Tracking
MUID,Microsoft Clarity,to store and track visits across websites.,Marketing/Tracking
lidc,LinkedIn,to store performed actions on the website.,Marketing/Tracking
bscookie,LinkedIn,to store performed actions on the website.,Marketing/Tracking
_stid,ShareThis,to store and track audience reach.,Marketing/Tracking
mailchimp_campaign_id,MailChimp,to store and track the email campaign.,Marketing/Tracking
mailchimp_email_id,MailChimp,to store and track the email campaign.,Marketing/Tracking
GPS,YouTube,to store location data.,Marketing/Tracking
YSC,YouTube,to Store and track interaction.,Marketing/Tracking
ifso_last_viewed,If So,to store last visit.,Marketing/Tracking
ifso_page_visits,If So,to store the user's usage history.,Marketing/Tracking
om-session-start,OptinMonster,to store time of visit.,Marketing/Tracking
om-session-pageviews,OptinMonster,to store and count pageviews.,Marketing/Tracking
_gat_gtag_UA_*_1,Google Analytics,to store and track conversions.,Marketing/Tracking
socialsnap_viewed_*,Social Snap,to store performed actions on the website.,Marketing/Tracking
session_depth,Google Ads,to store ad display frequency.,Marketing/Tracking
DigiTrust.v1.identity,Adform,to store a unique user ID.,Marketing/Tracking
s_vi_dbyx7Fax27zxxen,adobe marketing cloud,with unknown functionality,Marketing/Tracking
s1,Comscore,with unknown functionality,Marketing/Tracking
adthrive_refauc,AdThrive,to store information for remarketing purposes.,Marketing/Tracking
bcookie,LinkedIn,to store browser details.,Marketing/Tracking
li-oatml,LinkedIn,to provide ad delivery or retargeting.,Marketing/Tracking
li_sugr,LinkedIn,to store browser details.,Marketing/Tracking
UserMatchHistory,LinkedIn,to provide ad delivery or retargeting.,Marketing/Tracking
_lfa_*,Leadfeeder,to store and track audience reach.,Marketing/Tracking
hsfirstvisit,HubSpot,to store time of visit.,Marketing/Tracking
cbox_last_user_check,ConvertBox,with unknown functionality,Marketing/Tracking
_cb_expires,Chartbeat,with unknown functionality,Statistics
_chartbeat5,Chartbeat,with unknown functionality,Statistics
isPushNotificationsEnabled,One Signal,with unknown functionality,Marketing/Tracking
isOptedOut,One Signal,with unknown functionality,Marketing/Tracking
rc::c,Google reCAPTCHA,to read and filter requests from bots.,Marketing/Tracking
rc::b,Google reCAPTCHA,to read and filter requests from bots.,Marketing/Tracking
rc::a,Google reCAPTCHA,to read and filter requests from bots.,Marketing/Tracking
Jv_utm_*,Jivochat,to store and track the email campaign.,Marketing/Tracking
adthrive_rebuildslot,AdThrive,to store information for remarketing purposes.,Marketing/Tracking
adthrive_referrer,AdThrive,to store information for remarketing purposes.,Marketing/Tracking
adthrive_hbho,AdThrive,to store information for remarketing purposes.,Marketing/Tracking
adthrive_vbho,AdThrive,to store information for remarketing purposes.,Marketing/Tracking
mat_ep,Matelso,to store referrer ID's.,Marketing/Tracking
adthrive_vscs,AdThrive,to store information for remarketing purposes.,Marketing/Tracking
adthrive_auorder,AdThrive,to store information for remarketing purposes.,Marketing/Tracking
adthrive_bidord,AdThrive,to store information for remarketing purposes.,Marketing/Tracking
adthrive_amzn,AdThrive,to store information for remarketing purposes.,Marketing/Tracking
adthrive_ebho,AdThrive,to store information for remarketing purposes.,Marketing/Tracking
adthrive_ggii,AdThrive,to store information for remarketing purposes.,Marketing/Tracking
adthrive_ixlib,AdThrive,to store information for remarketing purposes.,Marketing/Tracking
_uetsid,Bing Ads,to store and track visits across websites.,Marketing/Tracking
prism_*,ActiveCampaign,to Store and track interaction.,Marketing/Tracking
rl_anonymous_id,RudderStack,with unknown functionality,Marketing/Tracking
criteo_pt_cdb_bidcachemap,Criteo,with unknown functionality,Marketing/Tracking
adthrive_vast_to,AdThrive,to store information for remarketing purposes.,Marketing/Tracking
_uetvid,Bing Ads,to store and track visits across websites.,Marketing/Tracking
__tt_embed__mounting,TikTok,to store data on the performance of content.,Marketing/Tracking
goog_pem_mod,Google Ads,to provide ad delivery or retargeting.,Marketing/Tracking
adthrive_idho,AdThrive,to store information for remarketing purposes.,Marketing/Tracking
_pin_unauth,Pinterest,with unknown functionality,Marketing/Tracking
ads/ga-audiences,Google Ads,to store information for remarketing purposes.,Marketing/Tracking
__d_pardot,Pardot,to store a unique user ID.,Marketing/Tracking
brz-showedPopupsInSessionTimeLine,Brizy,to store performed actions on the website.,Marketing/Tracking
__fb_chat_plugin,Facebook,to Store and track interaction.,Marketing/Tracking
dpm,adobe marketing cloud,to provide ad delivery or retargeting.,Marketing/Tracking
adthrive_reqto,AdThrive,to store information for remarketing purposes.,Marketing/Tracking
adthrive_lzhb,AdThrive,to store information for remarketing purposes.,Marketing/Tracking
adthrive_lzbpvp,AdThrive,to store information for remarketing purposes.,Marketing/Tracking
adthrive_maxre,AdThrive,to store information for remarketing purposes.,Marketing/Tracking
adthrive_lzcvp,AdThrive,to store information for remarketing purposes.,Marketing/Tracking
_gaexp_rc,Google Optimize,with unknown functionality,Marketing/Tracking
rl_user_id,RudderStack,to store a unique user ID.,Marketing/Tracking
__utmd,Google Analytics,to store and track visitor journeys through the site and classifies them into groups.,Marketing/Tracking
rl_trait,RudderStack,to store performed actions on the website.,Marketing/Tracking
vq_utm_medium,Visitor Queue,to store referring website.,Marketing/Tracking
vq_initial_source,Visitor Queue,to store which page was visited first.,Marketing/Tracking
vq_utm_source,Visitor Queue,to store referring website.,Marketing/Tracking
vq_utm_term,Visitor Queue,to store used keyword and search engine.,Marketing/Tracking
vqa_vid,Visitor Queue,to store a unique user ID.,Marketing/Tracking
pys_fb_event_id,PixelYourSite,to store information for remarketing purposes.,Marketing/Tracking
_clck,Microsoft Clarity,to store a unique user ID.,Marketing/Tracking
brz-showedPopups,Brizy,to store performed actions on the website.,Marketing/Tracking
webapp_tiktok_privious,TikTok,to store if the user has seen embedded content.,Marketing/Tracking
webapp_extra_data,TikTok,to provide functions across pages.,Marketing/Tracking
webapp_original_traffic_type,TikTok,to store if the user has seen embedded content.,Marketing/Tracking
guide-login-config,TikTok,"to store a unique user ID, store configuration, store if the user has seen embedded content.",Marketing/Tracking
__tea_cache_tokens_*,TikTok,"to store a unique session ID, store a unique user ID.",Marketing/Tracking
pg_pv_time_*,PubGuru,to store and count pageviews.,Marketing/Tracking
pg_keypress,PubGuru,to store performed actions on the website.,Marketing/Tracking
pg_ip,PubGuru,to read user IP address.,Marketing/Tracking
CAN_Store_*,Canddi,to store and track visits across websites.,Marketing/Tracking
coveo_visitorId,Coveo,to store a unique user ID.,Marketing/Tracking
s_v_web_id,TikTok,to store if the user has seen embedded content.,Marketing/Tracking
MONITOR_WEB_ID,TikTok,to store if the user has seen embedded content.,Marketing/Tracking
tt_webid,TikTok,to store if the user has seen embedded content.,Marketing/Tracking
tt_webid_v2,TikTok,to store if the user has seen embedded content.,Marketing/Tracking
ttwid,TikTok,to store if the user has seen embedded content.,Marketing/Tracking
webapp_launch_mode,TikTok,to store if the user has seen embedded content.,Marketing/Tracking
pg_beacon,PubGuru,with unknown functionality,Marketing/Tracking
pg_session_depth,PubGuru,to store number of visits.,Marketing/Tracking
webapp_session_id,TikTok,"to store a unique session ID, store and track visits across websites.",Marketing/Tracking
webapp-session-referer,TikTok,to store referring website.,Marketing/Tracking
__atrfs,AddThis,to provide functions across pages.,Marketing/Tracking
ad-id,Amazon-adsystem.com,to provide ad delivery or retargeting.,Marketing/Tracking
ad-privacy,Amazon-adsystem.com,to provide ad delivery or retargeting.,Marketing/Tracking
rl_page_init_referring_domain,RudderStack,to store referring website.,Marketing/Tracking
rl_group_id,RudderStack,with unknown functionality,Marketing/Tracking
rl_group_trait,RudderStack,with unknown functionality,Marketing/Tracking
rl_page_init_referrer,RudderStack,to store referring website.,Marketing/Tracking
sqzllocal,Squeezely,to store a unique user ID.,Marketing/Tracking
sqzl_session_id,Squeezely,to store a unique session ID.,Marketing/Tracking
kk_leadtag,Kelkoo Salestracking,to store performed actions on the website.,Marketing/Tracking
et-global-campaign,Goya,to store if a message has been dismissed.,Preferences
goya_popup,Goya,to store if a message has been dismissed.,Preferences
e_site-editor,Elementor,to store configuration.,Preferences
e_globals,Elementor,to store configuration.,Preferences
brz-sessions,Brizy,to store user preferences.,Preferences
_webpushrLastVisit,Webpushr,to store time of visit.,Preferences
bp_ut_session,BuddyPress,to store a unique session ID.,Preferences
omFoldersClosed,OptinMonster,to store if a message has been dismissed.,Preferences
omFoldersOptin,OptinMonster,to store if a message has been dismissed.,Preferences
omFoldersSeen,OptinMonster,to store if a message has been dismissed.,Preferences
boxzilla_timer,Ibericode,to store time of visit.,Preferences
_js_datr,Facebook,to store user preferences.,Preferences
tve_api_mailchimp_optin,Thrive Dashboard,to store user preferences.,Preferences
of_current_opt,WordPress,to store user preferences.,Preferences
KC_Configs,Kingcomposer,to store configuration.,Preferences
wplc_cid,WP-live chat,to store a unique user ID.,Preferences
_ym_d,Yandex Metrica,to store first visit to the site.,Preferences
ZD-store,Zendesk,to provide functions across pages.,Preferences
demPoll_*,Democracy Poll,to store performed actions on the website.,Preferences
module-manager-time-*,,to store performed actions on the website.,Preferences
jv_history_*,Jivochat,to store performed actions on the website.,Preferences
jv_store_*,Jivochat,to store performed actions on the website.,Preferences
vue-tabs-component.cache*,Vue,to store the user's usage history.,Preferences
comment_author_email_*,WordPress,to store user preferences.,Preferences
comment_author_url_*,WordPress,to store user preferences.,Preferences
comment_author_*,WordPress,to store user preferences.,Preferences
ibx_wpfomo_notifications,WPfomify,to store if a message has been shown.,Preferences
pmpro_visit,Paid Membership Pro,to store if a message has been shown.,Preferences
pll_language,Polylang,to store language settings.,Preferences
